player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2023,2328,1140,-2.442458528,0.605967533,-1.836490995,1.583853982,-3.756531688,-2.172677706,-1.77117981,-0.283672608,-2.054852418,0.400487529,0.400487529,0,-1.867986323,-0.182805936,-2.050792258,-0.956064831
Steven Adams,adamsst01,2023,2391,1133,-0.539148559,4.174472679,3.63532412,4.196019485,0.186158574,4.38217806,0.416278908,3.550985038,3.967263946,3.892111052,3.892111052,0,0.025096797,3.570023674,3.595120472,0.237905356
Bam Adebayo,adebaba01,2023,6933,3448,-1.905567785,2.343397524,0.437829739,1.584151168,2.634869211,4.219020378,-1.279139764,2.528053482,1.248913718,7.035147702,5.692163679,1.342984023,-0.809323625,2.539525564,1.730201939,-0.443789065
Ochai Agbaji,agbajoc01,2023,2604,1209,-1.323937715,-2.198396043,-3.522333759,0.637793414,-0.569348821,0.068444593,-1.010695667,-1.964926572,-2.97562224,-0.139469098,-0.139469098,0,-1.14586496,-2.506387133,-3.652252093,0.216215922
Santi Aldama,aldamsa01,2023,3824,1783,-1.022698582,-0.407462066,-1.430160647,-0.169196258,-1.337526726,-1.506722984,-0.90709503,-0.675486857,-1.582581887,1.058654626,1.159520292,-0.100865666,-1.245487482,-0.165474954,-1.410962437,-0.03568974
Nickeil Alexander-Walker,alexani01,2023,2185,1032,-0.058865336,4.097519421,4.038654085,-1.212303739,2.272451262,1.060147523,-0.303830331,3.986873712,3.68304338,3.479913652,2.416557418,1.063356234,-0.087537385,3.351663189,3.264125804,0.440043454
Grayson Allen,allengr01,2023,4534,2121,-0.04459916,0.238333124,0.193733964,0.524024503,-0.510039599,0.013984904,0.071087801,0.050969702,0.122057504,3.127174324,2.880050069,0.247124255,0.269344381,-0.030372356,0.238972025,0.38179136
Jarrett Allen,allenja01,2023,4833,2411,-1.334080445,1.627077731,0.292997286,3.307167417,1.658584771,4.965752188,-0.454216976,1.668787167,1.214570191,4.856336854,4.528900772,0.327436082,-0.348734966,2.270492232,1.921757266,-0.572868185
Jose Alvarado,alvarjo01,2023,2778,1310,0.039258347,1.396093695,1.435352042,-0.677184551,3.379530873,2.702346323,-0.103565847,1.865416284,1.761850437,3.025179269,3.025179269,0,-0.424834786,1.927231591,1.502396805,0.322323361
Kyle Anderson,anderky01,2023,4359,2061,-0.073959129,1.255403301,1.181444172,1.531263361,0.419480041,1.950743402,0.271534191,1.148606958,1.420141149,4.358710264,4.395997187,-0.037286922,-0.413767087,1.304951349,0.891184263,-0.299085526
Giannis Antetokounmpo,antetgi01,2023,4574,2115,3.378602594,1.927022233,5.305624826,2.646947148,1.836528724,4.483475873,3.402392686,1.978272754,5.38066544,8.923683983,9.313686034,-0.390002051,3.450266519,1.223376885,4.673643404,1.632325649
Thanasis Antetokounmpo,antetth01,2023,460,211,-5.630552403,-3.924342695,-9.554895098,-9.563757748,-8.887884128,-18.45164188,-6.778177628,-5.231934086,-12.01011171,-0.991024849,-0.945595409,-0.04542944,-5.48958452,-5.543422252,-11.03300677,-0.688948338
